ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
2020;REGIÃO NORDESTE;BA;ETANOL;2901353;ANDORINHA;188500
2020;REGIÃO NORDESTE;BA;ETANOL;2901403;ANGICAL;65000
2020;REGIÃO NORDESTE;BA;ETANOL;2901502;ANGUERA;348000
2020;REGIÃO NORDESTE;BA;ETANOL;2901601;ANTAS;239000
2020;REGIÃO NORDESTE;BA;ETANOL;2901700;ANTONIO CARDOSO;226650
2020;REGIÃO NORDESTE;BA;ETANOL;2901809;ANTONIO GONCALVES;95500
2020;REGIÃO NORDESTE;BA;ETANOL;2901908;APORA;121000
2020;REGIÃO NORDESTE;BA;ETANOL;2901957;APUAREMA;131000
2020;REGIÃO NORDESTE;BA;ETANOL;2902005;ARACATU;292000
2020;REGIÃO NORDESTE;BA;ETANOL;2902054;ARACAS;299000
2020;REGIÃO NORDESTE;BA;ETANOL;2902104;ARACI;861000
2020;REGIÃO NORDESTE;BA;ETANOL;2902252;ARATACA;50000
2020;REGIÃO NORDESTE;BA;ETANOL;2902302;ARATUIPE;370000
2020;REGIÃO NORDESTE;BA;ETANOL;2902401;AURELINO LEAL;295000
2020;REGIÃO NORDESTE;BA;ETANOL;2902500;BAIANOPOLIS;102000
2020;REGIÃO NORDESTE;BA;ETANOL;2902609;BAIXA GRANDE;265500
2020;REGIÃO NORDESTE;BA;ETANOL;2902658;BANZAE;204000
2020;REGIÃO NORDESTE;BA;ETANOL;2902708;BARRA;133000
2020;REGIÃO NORDESTE;BA;ETANOL;2902807;BARRA DA ESTIVA;327000
2020;REGIÃO NORDESTE;BA;ETANOL;2902906;BARRA DO CHOCA;375000
2020;REGIÃO NORDESTE;BA;ETANOL;2903003;BARRA DO MENDES;88000
2020;REGIÃO NORDESTE;BA;ETANOL;2903102;BARRA DO ROCHA;69000
2020;REGIÃO NORDESTE;BA;ETANOL;2903201;BARREIRAS;8377000
2020;REGIÃO NORDESTE;BA;ETANOL;2903235;BARRO ALTO;120000
2020;REGIÃO NORDESTE;BA;ETANOL;2903276;BARROCAS;123500
2020;REGIÃO NORDESTE;BA;ETANOL;2903409;BELMONTE;168000
2020;REGIÃO NORDESTE;BA;ETANOL;2903508;BELO CAMPO;217000
2020;REGIÃO NORDESTE;BA;ETANOL;2903607;BIRITINGA;240000
2020;REGIÃO NORDESTE;BA;ETANOL;2903706;BOA NOVA;131000
2020;REGIÃO NORDESTE;BA;ETANOL;2903805;BOA VISTA DO TUPIM;109000
2020;REGIÃO NORDESTE;BA;ETANOL;2903904;BOM JESUS DA LAPA;2045000
2020;REGIÃO NORDESTE;BA;ETANOL;2903953;BOM JESUS DA SERRA;54000
